item_id,book_title,concept,domain,cluster_description,item_type,description,text,title,numbers,url,combined_text,standard,all_standards
0,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,"Understand the connections between proportional relationships, lines, and linear equations.",section,Understand Slope of a Line,,,11.4,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:c2cd37d4-1a2c-4738-8134-f5accdd72c0f.xhtml,Understand Slope of a Line,8.EE.B.6,8.EE.B.6
1,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,"Understand the connections between proportional relationships, lines, and linear equations.",title,,Use Geoboards to Model Slope (entire section),,,,Use Geoboards to Model Slope (entire section),8.EE.B.6,8.EE.B.6
2,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,section,Use a General Strategy to Solve Linear Equations,,,2.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,Use a General Strategy to Solve Linear Equations,8.EE.C.7.A,8.EE.C.7.A
3,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,title,,Classify Equations,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,Classify Equations,8.EE.C.7.A,8.EE.C.7.A
4,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,,,,"2.6,2.7,2.8",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,,8.EE.C.7.A,8.EE.C.7.A
5,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,section,Use a General Strategy to Solve Linear Equations,,,2.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,Use a General Strategy to Solve Linear Equations,8.EE.C.7.B,8.EE.C.7.B
6,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,,,,2.9,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,,8.EE.C.7.B,8.EE.C.7.B
7,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,title,,How to Solve Equations with Fraction or Decimal Coefficients,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,How to Solve Equations with Fraction or Decimal Coefficients,8.EE.C.7.B,8.EE.C.7.B
8,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,,,,"2.10,2.11,2.12,2.13",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,,8.EE.C.7.B,8.EE.C.7.B
9,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,section,Solve Systems of Linear Equations with Two Variables,,,4.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solve Systems of Linear Equations with Two Variables,8.EE.C.8.A,8.EE.C.8.A
10,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,title,,Solutions of a System of Equations,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solutions of a System of Equations,8.EE.C.8.A,8.EE.C.8.A
11,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,,,,4.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,,8.EE.C.8.A,8.EE.C.8.A
12,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,title,,Solve a System of Linear Equations by Graphing,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solve a System of Linear Equations by Graphing,8.EE.C.8.A,8.EE.C.8.A
13,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,HOW TO SOLVE A SYSTEM OF EQUATIONS BY GRAPHING,,,4.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,HOW TO SOLVE A SYSTEM OF EQUATIONS BY GRAPHING,8.EE.C.8.A,8.EE.C.8.A
14,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,,,,4.3,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,,8.EE.C.8.A,8.EE.C.8.A
15,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,section,Solve Systems of Linear Equations with Two Variables,,,4.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solve Systems of Linear Equations with Two Variables,8.EE.C.8.B,8.EE.C.8.B
16,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,title,,Solve a System of Linear Equations by Graphing,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solve a System of Linear Equations by Graphing,8.EE.C.8.B,8.EE.C.8.B
17,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,HOW TO SOLVE A SYSTEM OF EQUATIONS BY GRAPHING,,,4.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,HOW TO SOLVE A SYSTEM OF EQUATIONS BY GRAPHING,8.EE.C.8.B,8.EE.C.8.B
18,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,,,,"4.3,4.4,4.5",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,,8.EE.C.8.B,8.EE.C.8.B
19,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,section,Solve Applications with Systems of Equations,,,4.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:6c760b6e-5e4f-4a82-a738-af62b1b2b52a.xhtml,Solve Applications with Systems of Equations,8.EE.C.8,8.EE.C.8
20,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,title,,Solve Direct Translation Applications,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:6c760b6e-5e4f-4a82-a738-af62b1b2b52a.xhtml,Solve Direct Translation Applications,8.EE.C.8,8.EE.C.8
21,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,title,,Solve applications with systems of equations.,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8c9ed356-0445-5f5d-8b2c-3523c6a7c4b4.xhtml,Solve applications with systems of equations.,8.EE.C.8,8.EE.C.8
22,Intermediate Algebra 2e,8TH GRADE,Expression & Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,example,,,,"4.15,4.16",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:6c760b6e-5e4f-4a82-a738-af62b1b2b52a.xhtml,,8.EE.C.8,8.EE.C.8
23,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",section,Relations and Functions,,,3.5,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,Relations and Functions,8.F.A.1,8.F.A.1
24,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",title,,Determine if a Relation is a Function,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,Determine if a Relation is a Function,8.F.A.1,8.F.A.1
25,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",example,,,,"3.45,3.463",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,,8.F.A.1,8.F.A.1
26,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",section,Graphs of Functions,,,3.6,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4b2bbf1b-2df7-4b9a-9933-dd70d1fd8ada.xhtml,Graphs of Functions,8.F.A.1,8.F.A.1
27,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",title,,Vertical Line Test,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4b2bbf1b-2df7-4b9a-9933-dd70d1fd8ada.xhtml,Vertical Line Test,8.F.A.1,8.F.A.1
28,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",example,,,,3.51,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4b2bbf1b-2df7-4b9a-9933-dd70d1fd8ada.xhtml,,8.F.A.1,8.F.A.1
29,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",section,Graph Linear Equations in Two Variables,,,3.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:9d3bc1f0-6330-4e24-b67a-6f07f074d79c.xhtml,Graph Linear Equations in Two Variables,8.F.A.3,8.F.A.3
30,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",title,,Graph of a Linear Equation,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:9d3bc1f0-6330-4e24-b67a-6f07f074d79c.xhtml,Graph of a Linear Equation,8.F.A.3,8.F.A.3
31,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",example,,,,3.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:9d3bc1f0-6330-4e24-b67a-6f07f074d79c.xhtml,,8.F.A.3,8.F.A.3
32,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",section,Slope of a Line,,,3.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,Slope of a Line,8.F.A.3,8.F.A.3
33,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",title,,Find the Slope of a Line,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,Find the Slope of a Line,8.F.A.3,8.F.A.3
34,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",example,,,,3.12,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,,8.F.A.3,8.F.A.3
35,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",title,,Slope of a Horizontal and Vertical Line,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,Slope of a Horizontal and Vertical Line,8.F.A.3,8.F.A.3
36,Intermediate Algebra 2e,8TH GRADE,Functions,"Define, evaluate, and compare functions.",example,,,,3.13,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,,8.F.A.3,8.F.A.3
37,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,section,Slope of a Line,,,3.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,Slope of a Line,8.F.B.4,8.F.B.4
38,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,title,,Graph and Interpret Applications of Slope-Intercept,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,Graph and Interpret Applications of Slope-Intercept,8.F.B.4,8.F.B.4
39,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,example,,,,"3.19,3.20",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,,8.F.B.4,8.F.B.4
